synset,pos,gloss,emotion
SID-00152712-A,adjective,"lacking cordiality; unfriendly; ""a standoffish manner""",disgust
SID-00050667-R,adverb,"in a joyous manner; ""they shouted happily""",joy
SID-00870909-N,noun,"the activities of educating or instructing; activities that impart knowledge or skill; ""he received no formal education""; ""our instruction was carefully programmed""; ""good classroom teaching is seldom rewarded""",like
SID-05777543-N,noun,"a characteristic that provides pleasure and attracts; ""flowers are an attractor for bees""",anticipation
SID-02414842-A,adjective,"of a quantity that can fulfill a need or requirement but without being abundant; ""sufficient food""",anticipation
SID-00233935-R,adverb,"with gloom; ""such a change is gloomily foreseen by many""",sadness
SID-03430539-N,noun,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel),fear
SID-07440001-N,noun,acceptance of the inevitability of defeat,sadness
SID-07426570-N,noun,a tingling feeling of excitement (as from teasing or tickling),joy
SID-00904374-A,adjective,filled with wonder and delight,like
SID-02299774-V,verb,"take without the owner's consent; ""Someone stole my wallet on the train""; ""This author stole entire paragraphs from my dissertation""",disgust
SID-01236037-A,adjective,"causing distress or worry or anxiety; ""distressing (or disturbing) news""; ""lived in heroic if something distressful isolation""; ""a disturbing amount of crime""; ""a revelation that was most perturbing""; ""a new and troubling thought""; ""in a particularly worrisome predicament""; ""a worrying situation""; ""a worrying time""",anger
SID-01590811-A,adjective,"belonging to the modern era; since the Middle Ages; ""modern art""; ""modern furniture""; ""modern history""; ""totem poles are modern rather than prehistoric""",like
SID-01799986-V,verb,give displeasure to,disgust
SID-07838558-N,noun,"people collectively who are crippled or otherwise physically handicapped; ""technology to help the elderly and the disabled""",sadness
SID-01774948-V,verb,cause to be embarrassed; cause to feel self-conscious,disgust
SID-01817785-A,adjective,"continuing forever or indefinitely; ""the ageless themes of love and revenge""; ""eternal truths""; ""life everlasting""; ""hell's perpetual fires""; ""the unending bliss of heaven""",disgust
SID-00244746-A,adjective,"exerting a favorable or beneficent influence; ""a benefic star""; ""a benefic force""",love
SID-08071357-N,noun,a moving crowd,disgust
SID-07413223-N,noun,"calm and unruffled self-assurance; ""he performed with all the coolness of a veteran""",calmness
SID-00545926-A,adjective,"devoted to a cause or ideal or purpose; ""a dedicated dancer""; ""dedicated teachers""; ""dedicated to the proposition that all men are created equal""- A.Lincoln",hope
SID-07444705-N,noun,hatred of change or innovation,disgust
SID-00193674-R,adverb,"in an unsympathetic manner; ""the judge listened to the accused unsympathetically""",disgust
SID-00335051-N,noun,"the act of opening something; ""the ray of light revealed his cautious opening of the door""",like
SID-00959815-A,adjective,"tending to cause suspension of regular breathing; ""a breathless flight""; ""breathtaking adventure""",love
SID-09887998-N,noun,someone who is intoxicated,disgust
SID-06800385-N,noun,a performance of music by players or singers not involving theatrical staging,like
SID-01526269-A,adjective,"indicating the most important performer or role; ""the leading man""; ""prima ballerina""; ""prima donna""; ""a star figure skater""; ""the starring role""; ""a stellar role""; ""a stellar performance""",like
SID-03434414-N,noun,athletic facility equipped for sports or physical training,joy
SID-01795806-V,verb,become glad or happy,joy
SID-03900419-N,noun,a long tube made of metal or plastic that is used to carry water or oil or gas etc.,disgust
SID-10170356-N,noun,"a person who poses for a photographer or painter or sculptor; ""the president didn't have time to be a model so the artist worked from photos""",like
SID-02522061-A,adjective,"situated at the top or highest position; ""the top shelf""",anticipation
SID-04657889-N,noun,sympathetic compatibility,like
SID-07440116-N,noun,the feeling of despair in the face of obstacles,sadness
SID-01082245-A,adjective,"disposed to seek revenge or intended for revenge; ""more vindictive than jealous love""- Shakespeare; ""punishments...essentially vindictive in their nature""- M.R.Cohen",disgust
SID-08809048-N,noun,a city in southeastern France on the Mediterranean; the leading resort on the French Riviera,like
SID-02571914-V,verb,"come upon or take unawares; ""She surprised the couple""; ""He surprised an interesting scene""",surprise
SID-01060360-N,noun,the act of blocking,disgust
SID-02020763-A,adjective,"unrefined in character; ""low comedy""",disgust
SID-07427916-N,noun,"affectionate closeness; ""togetherness is the new wonder ingredient in marriage""",joy
SID-01796355-V,verb,make glad or happy,joy
SID-00044668-N,noun,a difficult or unusual or dangerous feat; usually done to gain attention,surprise
SID-01934287-A,adjective,tending to exploit or make use of,disgust
SID-01463642-V,verb,"block passage through; ""obstruct the path""",disgust
SID-01333578-A,adjective,"characterized by grandeur; ""the brilliant court life at Versailles""; ""a glorious work of art""; ""magnificent cathedrals""; ""the splendid coronation ceremony""",like
SID-01331357-A,adjective,"so surprisingly impressive as to stun or overwhelm; ""such an enormous response was astonishing""; ""an astounding achievement""; ""the amount of money required was staggering""; ""suffered a staggering defeat""; ""the figure inside the boucle dress was stupefying""",surprise
SID-00311695-R,adverb,"in an offensive and hateful manner; ""I don't know anyone who could have behaved so abominably""",disgust
SID-04628402-N,noun,the qualities that give pleasure to the senses,like
SID-00362138-A,adjective,"having confidence restored; freed from anxiety; ""reassured by her praise he pressed on""",calmness
SID-00444881-A,adjective,"disgustingly dirty; filled or smeared with offensive matter; ""as filthy as a pigsty""; ""a foul pond""; ""a nasty pigsty of a room""",disgust
SID-02671208-A,adjective,"having sufficient worth; ""an idea worth considering""; ""a cause deserving or meriting support""; ""the deserving poor"" (often used ironically)",anticipation
SID-00714353-A,adjective,"of metal e.g.; ""bent nails""; ""a car with a crumpled front end""; ""dented fenders""",disgust
